source_type,country,country_code,region,region_code,second_tier_authority,local_authority,local_authority_code,calendar_year,la_ghg_sector,la_ghg_sub_sector,greenhouse_gas,territorial_emissions_kt_co2e,scope_of_influence_kt_co2,mid_year_population_thousands,area_km2,source_url,source_lines,matching_method,needs_manual_review
official_govuk_csv_preview,England,E92000001,North East,E12000001,Hartlepool,Hartlepool,E06000001,2005,Agriculture,Agriculture Electricity,CO2,1.690511188,1.690511188,90.457,98.3466,https://www.gov.uk/csv-preview/68653c7ee6c3cc924228943f/2005-23-uk-local-authority-ghg-emissions-CSV-dataset.csv,L86,official_preview_expanded_trial_row,true
official_govuk_csv_preview,England,E92000001,North East,E12000001,Hartlepool,Hartlepool,E06000001,2005,Agriculture,Agriculture Electricity,CH4,0.0535,0,90.457,98.3466,https://www.gov.uk/csv-preview/68653c7ee6c3cc924228943f/2005-23-uk-local-authority-ghg-emissions-CSV-dataset.csv,L87,official_preview_expanded_trial_row,true
official_govuk_csv_preview,England,E92000001,North East,E12000001,Hartlepool,Hartlepool,E06000001,2005,Agriculture,Agriculture Electricity,N2O,0.00682,0,90.457,98.3466,https://www.gov.uk/csv-preview/68653c7ee6c3cc924228943f/2005-23-uk-local-authority-ghg-emissions-CSV-dataset.csv,L88,official_preview_expanded_trial_row,true
official_govuk_csv_preview,England,E92000001,North East,E12000001,Hartlepool,Hartlepool,E06000001,2005,Agriculture,Agriculture Gas,CO2,0.264575676,0.264575676,90.457,98.3466,https://www.gov.uk/csv-preview/68653c7ee6c3cc924228943f/2005-23-uk-local-authority-ghg-emissions-CSV-dataset.csv,L89,official_preview_expanded_trial_row,true
official_govuk_csv_preview,England,E92000001,North East,E12000001,Hartlepool,Hartlepool,E06000001,2005,Agriculture,Agriculture Gas,CH4,0.00836,0,90.457,98.3466,https://www.gov.uk/csv-preview/68653c7ee6c3cc924228943f/2005-23-uk-local-authority-ghg-emissions-CSV-dataset.csv,L90,official_preview_expanded_trial_row,true
official_govuk_csv_preview,England,E92000001,North East,E12000001,Hartlepool,Hartlepool,E06000001,2005,Agriculture,Agriculture Gas,N2O,0.000269,0,90.457,98.3466,https://www.gov.uk/csv-preview/68653c7ee6c3cc924228943f/2005-23-uk-local-authority-ghg-emissions-CSV-dataset.csv,L91,official_preview_expanded_trial_row,true
official_govuk_csv_preview,England,E92000001,North East,E12000001,Hartlepool,Hartlepool,E06000001,2005,Agriculture,Agriculture Livestock,CH4,7.521433419,0,90.457,98.3466,https://www.gov.uk/csv-preview/68653c7ee6c3cc924228943f/2005-23-uk-local-authority-ghg-emissions-CSV-dataset.csv,L92,official_preview_expanded_trial_row,true
official_govuk_csv_preview,England,E92000001,North East,E12000001,Hartlepool,Hartlepool,E06000001,2005,Agriculture,Agriculture Livestock,N2O,1.559751322,0,90.457,98.3466,https://www.gov.uk/csv-preview/68653c7ee6c3cc924228943f/2005-23-uk-local-authority-ghg-emissions-CSV-dataset.csv,L93,official_preview_expanded_trial_row,true
official_govuk_csv_preview,England,E92000001,North East,E12000001,Hartlepool,Hartlepool,E06000001,2005,Agriculture,Agriculture 'Other',CO2,2.450639815,2.450639815,90.457,98.3466,https://www.gov.uk/csv-preview/68653c7ee6c3cc924228943f/2005-23-uk-local-authority-ghg-emissions-CSV-dataset.csv,L94,official_preview_expanded_trial_row,true
official_govuk_csv_preview,England,E92000001,North East,E12000001,Hartlepool,Hartlepool,E06000001,2005,Agriculture,Agriculture 'Other',CH4,0.0207,0,90.457,98.3466,https://www.gov.uk/csv-preview/68653c7ee6c3cc924228943f/2005-23-uk-local-authority-ghg-emissions-CSV-dataset.csv,L95,official_preview_expanded_trial_row,true
