47500|P|21|01
47501|P|21|02
47502|P|21|03
47503|P|21|04
47504|P|21|05
47505|P|21|06
47506|P|21|07
47507|P|21|08
47508|P|21|09
47509|P|21|10
47510|P|21|11
47511|P|21|12
47512|P|21|13
47513|P|21|14
47514|P|21|15
47515|P|21|16
47516|P|21|17
47517|P|21|18
47518|P|21|19
47519|P|21|20
47520|P|22|01
47521|P|22|02
47522|P|22|03
47523|P|22|04
47524|P|22|05
47525|P|22|06
47526|P|22|07
47527|P|22|08
47528|P|22|09
47529|P|22|10
47530|P|22|11
47531|P|22|12
47532|P|22|13
47533|P|22|14
47534|P|22|15
47535|P|22|16
47536|P|22|17
47537|P|22|18
47538|P|22|19
47539|P|22|20
47540|P|23|01
47541|P|23|02
47542|P|23|03
47543|P|23|04
47544|P|23|05
47545|P|23|06
47546|P|23|07
47547|P|23|08
47548|P|23|09
47549|P|23|10
47550|P|23|11
47551|P|23|12
47552|P|23|13
47553|P|23|14
47554|P|23|15
47555|P|23|16
47556|P|23|17
47557|P|23|18
47558|P|23|19
47559|P|23|20
47560|P|24|01
47561|P|24|02
47562|P|24|03
47563|P|24|04
47564|P|24|05
47565|P|24|06
47566|P|24|07
47567|P|24|08
47568|P|24|09
47569|P|24|10
47570|P|24|11
47571|P|24|12
47572|P|24|13
47573|P|24|14
47574|P|24|15
47575|P|24|16
47576|P|24|17
47577|P|24|18
47578|P|24|19
47579|P|24|20
47580|P|25|01
47581|P|25|02
47582|P|25|03
47583|P|25|04
47584|P|25|05
47585|P|25|06
47586|P|25|07
47587|P|25|08
47588|P|25|09
47589|P|25|10
47590|P|25|11
47591|P|25|12
47592|P|25|13
47593|P|25|14
47594|P|25|15
47595|P|25|16
47596|P|25|17
47597|P|25|18
47598|P|25|19
47599|P|25|20
47600|P|26|01
47601|P|26|02
47602|P|26|03
47603|P|26|04
47604|P|26|05
47605|P|26|06
47606|P|26|07
47607|P|26|08
47608|P|26|09
47609|P|26|10
47610|P|26|11
47611|P|26|12
47612|P|26|13
47613|P|26|14
47614|P|26|15
47615|P|26|16
47616|P|26|17
47617|P|26|18
47618|P|26|19
47619|P|26|20
47620|P|27|01
47621|P|27|02
47622|P|27|03
47623|P|27|04
47624|P|27|05
47625|P|27|06
47626|P|27|07
47627|P|27|08
47628|P|27|09
47629|P|27|10
47630|P|27|11
47631|P|27|12
47632|P|27|13
47633|P|27|14
47634|P|27|15
47635|P|27|16
47636|P|27|17
47637|P|27|18
47638|P|27|19
47639|P|27|20
47640|P|28|01
47641|P|28|02
47642|P|28|03
47643|P|28|04
47644|P|28|05
47645|P|28|06
47646|P|28|07
47647|P|28|08
47648|P|28|09
47649|P|28|10
47650|P|28|11
47651|P|28|12
47652|P|28|13
47653|P|28|14
47654|P|28|15
47655|P|28|16
47656|P|28|17
47657|P|28|18
47658|P|28|19
47659|P|28|20
47660|P|29|01
47661|P|29|02
47662|P|29|03
47663|P|29|04
47664|P|29|05
47665|P|29|06
47666|P|29|07
47667|P|29|08
47668|P|29|09
47669|P|29|10
47670|P|29|11
47671|P|29|12
47672|P|29|13
47673|P|29|14
47674|P|29|15
47675|P|29|16
47676|P|29|17
47677|P|29|18
47678|P|29|19
47679|P|29|20
47680|P|30|01
47681|P|30|02
47682|P|30|03
47683|P|30|04
47684|P|30|05
47685|P|30|06
47686|P|30|07
47687|P|30|08
47688|P|30|09
47689|P|30|10
47690|P|30|11
47691|P|30|12
47692|P|30|13
47693|P|30|14
47694|P|30|15
47695|P|30|16
47696|P|30|17
47697|P|30|18
47698|P|30|19
47699|P|30|20
