security_public_safety_3_batch180_source_001	Fire and building safety	Camden Council	https://www.camden.gov.uk/en/fire-and-building-safety	495f2e1a7b10d93df8b276bddf6fa112cdbd44b76dd21a41dbac7b6f53325b3b	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_002	How we keep your council home safe	Camden Council	https://www.camden.gov.uk/how-we-keep-your-council-home-safe	4618fae730422ac94f2ffa7ab684479f4bddc12e1da4d3aa49ce295247db24aa	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_003	Fire and building safety advice for your council home	Camden Council	https://www.camden.gov.uk/keeping-your-council-home-safe	c9320ba08033737e9a9f9a7d8fe11552c7953e99d26277bea92313f51cde008e	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_004	Fire safety advice for your council home	Camden Council	https://www.camden.gov.uk/safety-at-home	b4a8ad7a50b1a71bad19bf56b460268cca6bb9794712af60c848703ec7a87cf3	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_005	Fire safety in communal areas	Camden Council	https://www.camden.gov.uk/fire-safety-communal-areas	b365cf96c9781fa50985a764544749e542c4fe7a5e3bf05dc17134c580cd785e	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_006	Fire evacuation plans for council homes	Camden Council	https://www.camden.gov.uk/fire-evacuation-plans-for-council-homes	e441d284a49a19a670b3441c763cbf987d8b5bfba5cf46faaabff584967e458f	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_007	Window safety in your council home	Camden Council	https://www.camden.gov.uk/window-safety-in-your-council-home	9f8c3e4fa9306af324809b99a02b005088ca3619eed3fbd3232fd2fa8fd9eba8	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_008	Asbestos advice for residents	Camden Council	https://www.camden.gov.uk/asbestos-advice-residents	0beb09d1583eaf000b9a6f84f8a5bb5453f6f2435cc0498037f4b0806b379cf3	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_009	Balcony safety in your council home	Camden Council	https://www.camden.gov.uk/balcony-safety-in-your-council-home	7f02b1fe03c90b787a2f6e9fbf16d4c7703b37c01b6fb007afd6fe5960899116	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_010	Charging and storing e-bikes, e-scooters and mobility scooters safely	Camden Council	https://www.camden.gov.uk/e-bikes-e-scooters-and-electric-wheelchair-safety	e549c4097053cf206df61ef44b6cd96b0d445883b4e8cdc1c871bb215996bb69	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_011	Fire doors	Camden Council	https://www.camden.gov.uk/fire-doors	5990fa873cc51f3a2ed673d27eb37384be72de0057d45adabcd2d0847cc7deb0	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_012	Get help to leave your home in an emergency	Camden Council	https://www.camden.gov.uk/evacuation-support	cf2090a9c7995908b78acd8ef0b45a3748b2b5d5a74d1204c7b0fe5e0d247038	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_013	Fire safety advice for children aged 5 to 11	Camden Council	https://www.camden.gov.uk/fire-safety-for-children	386d0ae60be7a7ee57e6c5d38cc739622f03a3893833f14c8494f69553d3b945	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_014	Contact us about fire and building safety in your council home	Camden Council	https://www.camden.gov.uk/en/contact-us-about-safety-in-your-council-home	7dc8756c1a98bc47328f3639aa0e40028d2c3c0fcae735807da5cbbbe6fc6d7b	LONDON_CANONICAL_SCOPE_DIRECT	text/html
security_public_safety_3_batch180_source_015	Safety checks in communal areas	Camden Council	https://www.camden.gov.uk/safety-checks-in-communal-areas	6839a481f5e1636422dc96c7d3a92f34fdb746ab7b9c44dd97c38c779262756a	LONDON_CANONICAL_SCOPE_DIRECT	text/html
