building_type,spec_grade,region,base_rate_gbp_per_gia_m2,base_month,source_id,source_url,source_reliability,notes
residential_house,mid,London,2800,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
residential_house,mid,South East,2400,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
residential_house,mid,Midlands,2100,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
residential_house,mid,North,1900,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
residential_house,mid,UK,2200,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
residential_apartment,mid,London,3100,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
residential_apartment,mid,South East,2650,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
residential_apartment,mid,Midlands,2300,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
residential_apartment,mid,North,2050,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
residential_apartment,mid,UK,2400,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
warehouse_light_industrial,mid,London,1650,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
warehouse_light_industrial,mid,South East,1450,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
warehouse_light_industrial,mid,Midlands,1300,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
warehouse_light_industrial,mid,North,1200,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
warehouse_light_industrial,mid,UK,1350,2026-04,engineering_seed_assumptions_v1,N/A,0.35,seed_replace_required
