"gap_id","low_row_sequence","actual_cost_item_name","current_accuracy_score_4","current_band","target_band","required_source_type","replacement_price_value","db_write","production_deploy","fake_data"
"GAP_LOW_RELIABILITY_ITEMS","LOW_001","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","BCIS","PENDING_VERIFIED_SOURCE","false","false","false"
"GAP_LOW_RELIABILITY_ITEMS","LOW_002","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","RICS","PENDING_VERIFIED_SOURCE","false","false","false"
"GAP_LOW_RELIABILITY_ITEMS","LOW_003","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","official_fee_table","PENDING_VERIFIED_SOURCE","false","false","false"
"GAP_LOW_RELIABILITY_ITEMS","LOW_004","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","supplier_quote","PENDING_VERIFIED_SOURCE","false","false","false"
"GAP_LOW_RELIABILITY_ITEMS","LOW_005","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","BCIS","PENDING_VERIFIED_SOURCE","false","false","false"
"GAP_LOW_RELIABILITY_ITEMS","LOW_006","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","RICS","PENDING_VERIFIED_SOURCE","false","false","false"
"GAP_LOW_RELIABILITY_ITEMS","LOW_007","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","official_fee_table","PENDING_VERIFIED_SOURCE","false","false","false"
"GAP_LOW_RELIABILITY_ITEMS","LOW_008","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","supplier_quote","PENDING_VERIFIED_SOURCE","false","false","false"
"GAP_LOW_RELIABILITY_ITEMS","LOW_009","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","BCIS","PENDING_VERIFIED_SOURCE","false","false","false"
"GAP_LOW_RELIABILITY_ITEMS","LOW_010","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","RICS","PENDING_VERIFIED_SOURCE","false","false","false"
"GAP_LOW_RELIABILITY_ITEMS","LOW_011","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","official_fee_table","PENDING_VERIFIED_SOURCE","false","false","false"
"GAP_LOW_RELIABILITY_ITEMS","LOW_012","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","supplier_quote","PENDING_VERIFIED_SOURCE","false","false","false"
"GAP_LOW_RELIABILITY_ITEMS","LOW_013","PENDING_FROM_PREVIEW_EXPORT_DO_NOT_INVENT","<2.2","LOW","MEDIUM_OR_HIGH","BCIS","PENDING_VERIFIED_SOURCE","false","false","false"
