"parcel_id","parcel","lat","lon","latitude","longitude","centroid_lat","centroid_lon","all_columns"
"35729957",,"51.33689063164303","-0.4562494108596019",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729958",,"51.33136495480015","-0.48568153155055604",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729959",,"51.33119733009409","-0.48155627020660063",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729960",,"51.3306616617677","-0.46099432086760705",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729961",,"51.32767737819829","-0.4743700256283096",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729962",,"51.3281315570699","-0.47531234096460584",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729963",,"51.32803014961321","-0.4758999956374062",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729964",,"51.32806175116774","-0.4761335202430372",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729965",,"51.32837445144417","-0.4747201739372881",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729966",,"51.328249570691916","-0.476051811263433",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729967",,"51.32832361264761","-0.47571911453810944",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729968",,"51.32709094551566","-0.47395061253037263",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729969",,"51.32595735845628","-0.47015700821704925",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729970",,"51.32659662804613","-0.4660564109467233",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729971",,"51.32745406617586","-0.46078658646178133",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729972",,"51.32795660589525","-0.46330611431483576",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729973",,"51.328297146068564","-0.4722444484786908",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729974",,"51.329329291803134","-0.4618290577997125",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729975",,"51.32654533342498","-0.4801026260759577",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
"35729976",,"51.32802269837319","-0.48565231063160824",,,,,"parcel_id|parcel_ref|local_authority|lon|lat|area_m2|airQualityPercent|pollutionRiskPercent|confidencePercent|airQualityGrade|airQualityNearestName|airQualityNearestDistanceKm"
