"path","exists","extension","has_parcel_id","has_geometry_or_location","strict_schema_confirmed","status"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\run_20260502_191619\endpoint__map_sales-history_parcels.json","True",".json","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\github_visible_source_lineage_20260516\evidence\PUBLIC_PARCELS_METADATA.json","True",".json","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_air_quality_scores.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_scores_nearest_lsoa_rescue.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_uplift_no_downgrade.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_topography_L2_MEDIUM_sample_with_air_quality.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_scores_rechecked_0_120m.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_uplift_no_downgrade_with_air_quality.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_scores_rechecked_0_120m_spatial.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_rechecked_0_120m_spatial.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_rechecked_0_120m.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_topography_L4_HIGH_sample_with_air_quality.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_scores_uplift_no_downgrade.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_topography_sample_points_with_air_quality.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_nearest_lsoa_rescue.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\05_london_bbox_sample_parcels_with_air_quality.csv","True",".csv","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_sample_points.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_L4_HIGH_sample.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_L2_MEDIUM_sample.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_L4_HIGH_sample.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_sample_points.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_L2_MEDIUM_sample.geojson","True",".geojson","True","True","True","schema_confirmed_candidate"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_match_summary.json","True",".json","False","True","False","not_confirmed"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_match_summary.json","True",".json","False","True","False","not_confirmed"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\github_visible_source_lineage_20260516\evidence\SPECIFIC_PARCEL_477_SOURCE_FIELDS_RAW.json","True",".json","True","False","False","not_confirmed"
"C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\security_accuracy_expansion\schemas\parcel_security_evidence_schema.json","True",".json","True","False","False","not_confirmed"
"C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_air_quality_score_manifest_step36.json","True",".json","False","True","False","not_confirmed"
"C:\Users\cagda\Documents\GitHub\AAYS\security_accuracy_expansion\schemas\parcel_security_evidence_schema.json","True",".json","True","False","False","not_confirmed"
