"row","listing_id","listing_url","status"
"1","OTM-10225397","https://www.onthemarket.com/details/10225397/","queued_for_review"
"2","OTM-10278618","https://www.onthemarket.com/details/10278618/","queued_for_review"
"3","OTM-10371311","https://www.onthemarket.com/details/10371311/","queued_for_review"
"4","OTM-10541029","https://www.onthemarket.com/details/10541029/","queued_for_review"
"5","OTM-10693127","https://www.onthemarket.com/details/10693127/","queued_for_review"
"6","OTM-10849824","https://www.onthemarket.com/details/10849824/","queued_for_review"
"7","OTM-10854933","https://www.onthemarket.com/details/10854933/","queued_for_review"
"8","OTM-10866038","https://www.onthemarket.com/details/10866038/","queued_for_review"
"9","OTM-10905789","https://www.onthemarket.com/details/10905789/","queued_for_review"
"10","OTM-10935976","https://www.onthemarket.com/details/10935976/","queued_for_review"
"11","OTM-10968251","https://www.onthemarket.com/details/10968251/","queued_for_review"
"12","OTM-10973719","https://www.onthemarket.com/details/10973719/","queued_for_review"
"13","OTM-11110712","https://www.onthemarket.com/details/11110712/","queued_for_review"
"14","OTM-11228776","https://www.onthemarket.com/details/11228776/","queued_for_review"
"15","OTM-11301465","https://www.onthemarket.com/details/11301465/","queued_for_review"
"16","OTM-11384326","https://www.onthemarket.com/details/11384326/","queued_for_review"
"17","OTM-11488586","https://www.onthemarket.com/details/11488586/","queued_for_review"
"18","OTM-11536660","https://www.onthemarket.com/details/11536660/","queued_for_review"
"19","OTM-11567771","https://www.onthemarket.com/details/11567771/","queued_for_review"
"20","OTM-11653690","https://www.onthemarket.com/details/11653690/","queued_for_review"
"21","OTM-11715094","https://www.onthemarket.com/details/11715094/","queued_for_review"
"22","OTM-11792219","https://www.onthemarket.com/details/11792219/","queued_for_review"
"23","OTM-11860816","https://www.onthemarket.com/details/11860816/","queued_for_review"
"24","OTM-11860840","https://www.onthemarket.com/details/11860840/","queued_for_review"
"25","OTM-11886453","https://www.onthemarket.com/details/11886453/","queued_for_review"
"26","OTM-11893224","https://www.onthemarket.com/details/11893224/","queued_for_review"
"27","OTM-11905361","https://www.onthemarket.com/details/11905361/","queued_for_review"
"28","OTM-11966753","https://www.onthemarket.com/details/11966753/","queued_for_review"
"29","OTM-11992286","https://www.onthemarket.com/details/11992286/","queued_for_review"
"30","OTM-12019491","https://www.onthemarket.com/details/12019491/","queued_for_review"
"31","OTM-12026022","https://www.onthemarket.com/details/12026022/","queued_for_review"
"32","OTM-12152299","https://www.onthemarket.com/details/12152299/","queued_for_review"
"33","OTM-12152301","https://www.onthemarket.com/details/12152301/","queued_for_review"
"34","OTM-12214431","https://www.onthemarket.com/details/12214431/","queued_for_review"
"35","OTM-12267671","https://www.onthemarket.com/details/12267671/","queued_for_review"
"36","OTM-12270213","https://www.onthemarket.com/details/12270213/","queued_for_review"
"37","OTM-12270280","https://www.onthemarket.com/details/12270280/","queued_for_review"
"38","OTM-12301172","https://www.onthemarket.com/details/12301172/","queued_for_review"
"39","OTM-12378722","https://www.onthemarket.com/details/12378722/","queued_for_review"
"40","OTM-12405004","https://www.onthemarket.com/details/12405004/","queued_for_review"
"41","OTM-12528329","https://www.onthemarket.com/details/12528329/","queued_for_review"
"42","OTM-12529118","https://www.onthemarket.com/details/12529118/","queued_for_review"
"43","OTM-12557806","https://www.onthemarket.com/details/12557806/","queued_for_review"
"44","OTM-12557814","https://www.onthemarket.com/details/12557814/","queued_for_review"
"45","OTM-12587665","https://www.onthemarket.com/details/12587665/","queued_for_review"
"46","OTM-12638186","https://www.onthemarket.com/details/12638186/","queued_for_review"
"47","OTM-12643178","https://www.onthemarket.com/details/12643178/","queued_for_review"
"48","OTM-12649824","https://www.onthemarket.com/details/12649824/","queued_for_review"
"49","OTM-12652227","https://www.onthemarket.com/details/12652227/","queued_for_review"
"50","OTM-12660130","https://www.onthemarket.com/details/12660130/","queued_for_review"
