"candidate_id","source_file","matched_terms","phone_like_present","email_like_present","url_like_present","postcode_like_present","evidence_indicator_count","queue_status","final_import_status"
"EA-CAND-000001","E:\AAYS_DATA\estate_agents\estate_agent_candidates_from_local_artifacts_003.csv","agent;estate;property;branch;company;firm;contact;phone;website;postcode","False","False","True","True","2","review_ready","not_final_without_source_review"
"EA-CAND-000003","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty147-england-planned-structures\raw\gov_pipeline.html","property;firm;contact;website","False","False","True","True","2","review_ready","not_final_without_source_review"
"EA-CAND-000004","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty147-england-planned-structures\raw\nista_portal.html","property;firm;website","True","False","True","False","2","review_ready","not_final_without_source_review"
"EA-CAND-000017","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\endpoint_297107341.txt","property;firm;website","True","False","True","False","2","review_ready","not_final_without_source_review"
"EA-CAND-000018","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\gov_pipeline.html","property;firm;contact;website","False","False","True","True","2","review_ready","not_final_without_source_review"
"EA-CAND-000020","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___pipeline.nista.grid.civilservice.gov.uk_assets_jqx-all.js_m_1773333865.0.txt","agent;estate;property;firm;contact;phone","True","False","True","True","3","review_ready","not_final_without_source_review"
"EA-CAND-000023","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___unpkg.com_dash-core-components_2.14.3_dash_core_components_dash_core_components.js.txt","agent;estate;property;firm","True","True","True","True","4","review_ready","not_final_without_source_review"
"EA-CAND-000025","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___unpkg.com_dash-renderer_1.21.1_build_dash_renderer.min.js.txt","estate;property","False","False","True","True","2","review_ready","not_final_without_source_review"
"EA-CAND-000028","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___unpkg.com_dash_mantine_components_2.1.0_dash_mantine_components_dash_mantine_components.js.txt","agent;estate;property;phone","True","False","True","True","3","review_ready","not_final_without_source_review"
"EA-CAND-000029","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___unpkg.com_react-dom_18.2.0_umd_react-dom.production.min.js.txt","agent;estate;property","False","False","True","True","2","review_ready","not_final_without_source_review"
"EA-CAND-000032","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___www.gov.uk_assets_frontend_application-08a98d8b773d1756791c8badd2fc3071db29006b028f0e7a9d75dd6883961f5f.js.txt","agent;estate;property;firm;contact;phone","True","False","True","False","2","review_ready","not_final_without_source_review"
"EA-CAND-000033","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\https___www.gov.uk_assets_frontend_application-da57650812d57201e327fec4ee4f527991899b151785c2e99ca2965ecf163b9a.js.txt","agent;estate;property;firm;contact;phone","True","False","True","False","2","review_ready","not_final_without_source_review"
"EA-CAND-000035","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty150-nista-pipeline-deep-discovery\raw\nista.html","property;firm;website","True","False","True","False","2","review_ready","not_final_without_source_review"
"EA-CAND-000067","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-logs\run-2026-05-02_18-52-36.md","branch","False","False","True","True","2","review_ready","not_final_without_source_review"
"EA-CAND-000072","C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\2026-05-02_22-46-55-terrayield-long-diagnostic-001.md","postcode","True","False","True","True","3","review_ready","not_final_without_source_review"
