"path","has_accuracy","has_LOW","has_source","bytes"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\tools\cost_uk_real_engine\config\cost_item_catalog_12cost.csv","True","True","True","6832"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\cost12_low_reliability_replacement_queue.csv","True","True","False","2483"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\cost12_integration_apply_20260524\INTEGRATION_DELTA_REPORT_TR.md","True","False","True","1945"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0192.json","False","True","False","164"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0193.md","False","True","False","254"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0193.json","False","True","False","164"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0192.md","False","True","False","254"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0191.md","False","True","False","254"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0190.json","False","True","False","164"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0189.md","False","True","False","254"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0189.json","False","True","False","164"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0188.md","False","True","False","254"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0191.json","False","True","False","164"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0190.md","False","True","False","254"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0194.json","False","True","False","164"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0198.json","False","True","False","164"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0197.md","False","True","False","254"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0198.md","False","True","False","254"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0199.md","False","True","False","254"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\security_accuracy_expansion\hyper_scope_20260507\conflict_resolution\card_0199.json","False","True","False","164"
