"full_name","extension","size_bytes","last_write_time_utc","matched_needles"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\run_20260502_191619\endpoint__map_listings.json",".json","2910341","2026-05-02T16:16:49.3267365Z","east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\run_20260502_191619\endpoint__map_sales-history_combined.json",".json","1398135","2026-05-02T16:17:23.2611962Z","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\run_20260502_191619\endpoint__map_sales-history_external-evidence.json",".json","1368764","2026-05-02T16:17:22.0693738Z","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\verification_039_real_dataset_probe_20260504_073441\real_dataset_candidates.csv",".csv","11651288","2026-05-04T04:35:21.2682193Z","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_perf_rescue\db_recover_20260502_154840\api_resp_1.txt",".txt","2910341","2026-05-02T12:50:31.6425038Z","east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_perf_rescue\db_recover_20260502_154840\api_resp_2.txt",".txt","2910341","2026-05-02T12:50:35.0345460Z","east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_perf_rescue\db_recover_20260502_154840\api_resp_3.txt",".txt","2910341","2026-05-02T12:50:37.2795600Z","east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_perf_rescue\db_recover_20260502_154840\api_resp_4.txt",".txt","1116835","2026-05-02T12:50:38.3924373Z","east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_perf_rescue\db_recover_20260502_154840\api_resp_5.txt",".txt","1116835","2026-05-02T12:50:38.9317125Z","east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\local_text_key_hits.csv",".csv","3011857","2026-05-02T14:02:25.3818477Z","east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0134__listings_limit_500.txt",".txt","2894301","2026-05-02T13:48:04.9589272Z","east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0136__listings_city_London_limit_500.txt",".txt","2894301","2026-05-02T13:48:09.4558660Z","east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0199__map_listings_.txt",".txt","2910341","2026-05-02T13:48:27.2492593Z","east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0200__map_listings_city_London.txt",".txt","2910341","2026-05-02T13:48:29.7376750Z","east-devon-district-council|East Devon"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0201__map_listings_location_London.txt",".txt","2910341","2026-05-02T13:48:32.3117658Z","east-devon-district-council|East Devon"
