transaction_id,price_paid,sale_date,postcode,property_type,tenure,paon,saon,street,town_city,district,county,address_text,source_name,source_url
{4E75C29C-C5C8-8922-E063-4804A8C094D0},1525000.00,2021-02-08,CM8 3NW,D,F,QUINNEYS,,MAYPOLE ROAD,WITHAM,MALDON,ESSEX,"QUINNEYS, MAYPOLE ROAD, WITHAM",hmlr_price_paid,https://price-paid-data.publicdata.landregistry.gov.uk/pp-monthly-update-new-version.csv
{4E75C29D-0B3B-8922-E063-4804A8C094D0},270000.00,2021-03-31,DL17 0EY,D,F,EDEN DALE,,,FERRYHILL,COUNTY DURHAM,COUNTY DURHAM,"EDEN DALE, FERRYHILL",hmlr_price_paid,https://price-paid-data.publicdata.landregistry.gov.uk/pp-monthly-update-new-version.csv
{4E75C29D-17B2-8922-E063-4804A8C094D0},171000.00,2021-09-30,BN21 1LF,F,L,THE CHANTRY,14,UPPERTON ROAD,EASTBOURNE,EASTBOURNE,EAST SUSSEX,"THE CHANTRY, 14, UPPERTON ROAD, EASTBOURNE",hmlr_price_paid,https://price-paid-data.publicdata.landregistry.gov.uk/pp-monthly-update-new-version.csv
{4E75C29D-18D4-8922-E063-4804A8C094D0},375995.00,2021-05-21,TN22 5FW,S,F,69,,TREFOIL WAY,UCKFIELD,WEALDEN,EAST SUSSEX,"69, TREFOIL WAY, UCKFIELD",hmlr_price_paid,https://price-paid-data.publicdata.landregistry.gov.uk/pp-monthly-update-new-version.csv
{4E75C29D-19B5-8922-E063-4804A8C094D0},340000.00,2021-05-28,BN41 2PU,S,F,39,,EDGEHILL WAY,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,"39, EDGEHILL WAY, BRIGHTON",hmlr_price_paid,https://price-paid-data.publicdata.landregistry.gov.uk/pp-monthly-update-new-version.csv
{4E75C29D-1FAD-8922-E063-4804A8C094D0},755000.00,2021-05-04,CM77 7PY,D,F,32,,MAYLANDS DRIVE,BRAINTREE,BRAINTREE,ESSEX,"32, MAYLANDS DRIVE, BRAINTREE",hmlr_price_paid,https://price-paid-data.publicdata.landregistry.gov.uk/pp-monthly-update-new-version.csv
{4E75C29D-2D8B-8922-E063-4804A8C094D0},289000.00,2021-03-17,GL8 8TB,S,F,17,,ROSEBLADE WALK,TETBURY,COTSWOLD,GLOUCESTERSHIRE,"17, ROSEBLADE WALK, TETBURY",hmlr_price_paid,https://price-paid-data.publicdata.landregistry.gov.uk/pp-monthly-update-new-version.csv
{4E75C29D-2E8C-8922-E063-4804A8C094D0},291995.00,2021-12-16,GL15 5FX,D,F,42,,KINGFISHER DRIVE,LYDNEY,FOREST OF DEAN,GLOUCESTERSHIRE,"42, KINGFISHER DRIVE, LYDNEY",hmlr_price_paid,https://price-paid-data.publicdata.landregistry.gov.uk/pp-monthly-update-new-version.csv
{4E75C29D-2EBD-8922-E063-4804A8C094D0},217995.00,2021-12-20,GL15 5FX,T,F,48,,KINGFISHER DRIVE,LYDNEY,FOREST OF DEAN,GLOUCESTERSHIRE,"48, KINGFISHER DRIVE, LYDNEY",hmlr_price_paid,https://price-paid-data.publicdata.landregistry.gov.uk/pp-monthly-update-new-version.csv
{4E75C29D-344D-8922-E063-4804A8C094D0},425000.00,2021-08-26,WD17 4DY,F,L,"MAXWELL COURT, 8",FLAT 2,SCHREIBER GRANGE,WATFORD,WATFORD,HERTFORDSHIRE,"MAXWELL COURT, 8, FLAT 2, SCHREIBER GRANGE, WATFORD",hmlr_price_paid,https://price-paid-data.publicdata.landregistry.gov.uk/pp-monthly-update-new-version.csv
